iteration	type	hypothesis	result	severity	location	description
46	hypothesis	base.py hard_stop parse failure silent	confirmed	MEDIUM	base.py:76	except (ValueError, AttributeError): pass — malformed hard_stop silently ignored, strategy keeps trading
47	hypothesis	monte_carlo empty pnls crashes	confirmed	MEDIUM	monte_carlo.py:68	equity_curve[-1] IndexError when trade_pnls is empty (0 trades from backtest)
48	hypothesis	walk_forward division by zero	disproven	-	walk_forward.py:43	len(expectancies) >= 2 guaranteed by guard on line 37
49	hypothesis	vwap_reversion VWAP scope mismatch	disproven	-	vwap_reversion.py:128	All-bars VWAP is fallback only; broker VWAP used when available; P1 fix comment confirms intentional
50	hypothesis	diagnostics.py division by zero	disproven	-	diagnostics.py:83,107,126	n >= 1 guaranteed by defaultdict/append pattern; line 83 has n >= 3 guard
51	hypothesis	optimizer.py uninitialized return	disproven	-	optimizer.py:45-79	best_params=None and best_metrics={} handled correctly with proper return
52	hypothesis	iv_surface type conversion crash	disproven	-	iv_surface.py:118	Data contract from pipeline guarantees numeric delta/iv values
53	hypothesis	risk.py timezone fallback silent	disproven	-	risk.py:102	Intentional resilient fallback to default timezone — better than crashing
54	hypothesis	agent/core.py config path fallback silent	disproven	-	core.py:49	Best-effort path resolution with raw fallback — non-critical
55	hypothesis	optuna_harness silent passes	disproven	-	optuna_harness.py:454,984,1041	All in offline analytics (logger reset, DSR display, sensitivity report) — acceptable
56	hypothesis	position_manager holding_period silent	confirmed	LOW	position_manager.py:446	except Exception: pass on holding period calculation — type mismatch invisible
57	hypothesis	gap_pct NaN propagation	disproven	-	pipeline.py:131	tech_result provides valid default; local computation is an override only
58	hypothesis	client.py prior day stats IndexError	disproven	-	client.py:437	bars[-2] correctly returns last complete day bar when len >= 2
59	hypothesis	replay_provider unbounded cache	disproven	-	replay_provider.py:36	Backtest-only class with finite lifetime; not a production concern
60	hypothesis	entropy.py division by zero	disproven	-	entropy.py:156	pe_order defaults to 5; log(factorial(5)) = 4.79; guard is dead code but harmless
61	hypothesis	pipeline.py local_fail uninitialized	disproven	-	pipeline.py:335	local_fail = 0 initialized on line 335 before try block
62	hypothesis	gex.py numerical instability	disproven	-	gex.py:79	current_price > 0 check on line 64; s_sq multiplication is correct GEX formula
63	hypothesis	main.py timezone conversion silent	disproven	-	main.py:444	Intentional fallback to wall clock time; timezone conversion is best-effort
64	hypothesis	atlas_reader stale cache	disproven	-	atlas_reader.py:210	Cache cleared daily on date boundary; multi-day backtests restart cache correctly
65	hypothesis	NoopOrderExecutor cancel_all returns None	confirmed	LOW	orders.py:732	Returns None instead of int like other executors — LSP violation; fixed to return 0
66	hypothesis	HRP empty multipliers IndexError	disproven	-	risk.py:575	Guard on line 575 returns 1.0 for empty dict; sorted_ranks[-1] only reached when non-empty
67	hypothesis	position_manager partial exit race	disproven	-	position_manager.py:724	Single-threaded (asyncio); bounds check on line 724 is reliable
68	hypothesis	HRP cluster variance div-by-zero	disproven	-	hrp.py:238	np.maximum(diag, 1e-10) guarantees inv_diag.sum() > 0
69	hypothesis	strategy_engine hard stop list mutation	disproven	-	strategy_engine.py:171	Iterates allowed (set), modifies active (list) — safe; already disproven iteration 43
70	hypothesis	CVaR GPD formula invalid for xi >= 1	confirmed	HIGH	cvar_sizer.py:207	GPD mean undefined for xi >= 1; denom = 1-xi flips sign producing positive CVaR (nonsensical)
71	hypothesis	Kelly returns 1.0 with 0 losses	disproven	-	kelly.py:111	Intentional; clamped by max_equity_pct (0.30) and fractional_kelly (0.25) = max 7.5%
72	hypothesis	Kelly bootstrap p = wins/n off-by-one	disproven	-	kelly.py:196	sample > 0 and sample <= 0 are exhaustive; len(wins) + len(losses) = n always
73	hypothesis	CPPI floor decay breaks invariant	disproven	-	cppi.py:77	Intentional relaxing CPPI variant; floor_decay_rate defaults to 0 (disabled)
74	hypothesis	HRP clamp loop diverges	disproven	-	hrp.py:272	clamped_any IS set on lines 272/275; final normalization on 294-297 ensures sum=1.0
75	hypothesis	Kelly robust epsilon unit confusion	disproven	-	kelly.py:138	Heuristic approximation is intentional; epsilon scaling of payoffs is a common simplification
76	hypothesis	Adaptive sizer correlation cascading	disproven	-	adaptive_sizer.py:220	Design choice with explicit cap; not a code bug
77	hypothesis	trend_rider_pro pullback abs() loses direction	disproven	-	trend_rider_pro.py:227	SELL side disabled; abs() correctly measures distance; direction via EMA alignment
78	hypothesis	mean_reversion_pro hardcoded VWAP thresholds ignore OU	disproven	-	mean_reversion_pro.py:206	0.003/0.015 are scoring range params; OU scaling adjusts _detect_side thresholds
79	hypothesis	pair_trading_v2 stationarity factor arbitrary	disproven	-	pair_trading_v2.py:232	Crude heuristic is confluence score boost; real gate is _coint_monitors.is_valid
80	hypothesis	mean_reversion_pro GARCH z-score vs raw % threshold	confirmed	HIGH	mean_reversion_pro.py:460	conditional_zscore changes units to sigma; 0.003 threshold in raw % bypassed entirely
81	hypothesis	Stop sanity >= instead of > too strict	disproven	-	mean_reversion_pro.py:510	Correct: rejects zero-room trades where stop == entry price
82	hypothesis	trend_rider_pro stop recomputation discards swings	disproven	-	trend_rider_pro.py:342	Swing structure preserved; GARCH/ATR only affect fallback and minimum distance
83	hypothesis	Antifragile overrides return 0.0 instead of base	disproven	-	risk.py:283	Intentional replacement for non-linear convexity classes; override IS the multiplier
84	hypothesis	Realized PnL never includes exit commission	disproven	-	position_manager.py:506	Gross PnL on Position is standard; net computed at ClosedTradeInfo (line 453)
85	hypothesis	DB halt bypass via same-bar signal	disproven	-	execution.py:1178	asyncio single-threaded; order never reaches broker even if risk approved
86	hypothesis	Trailing stop bypass on entry bar	disproven	-	position_manager.py:634	Entry bar returns at line 634-635 BEFORE any trailing logic
87	hypothesis	Reconciliation loses position exit state	confirmed	MEDIUM	execution.py:2097	New Position object lost stop_price, trailing state, partial exits; fixed to mutate existing
88	hypothesis	Daily loss gate ignores unrealized PnL	disproven	-	risk.py:197	Design choice; separate position/notional limits constrain exposure
89	hypothesis	BOCPD evidence underflow kills posterior	confirmed	LOW	bocpd.py:80	evidence=0 from underflow → posterior stays all-zeros permanently; fixed with changepoint reset
90	hypothesis	Vol z-score is ratio not z-score	disproven	-	regime.py:469	Ratio thresholds (0.7/1.5/3.0) intentional and empirically calibrated
91	hypothesis	GEX formula uses S² not S	disproven	-	gex.py:79	Dollar gamma convention; provider-dependent units; relative comparisons unaffected
92	hypothesis	VRP IV-RV time scale mismatch	disproven	-	vrp.py:49	Design simplification for intraday regime classification
93	hypothesis	Hurst trend classification inverted	disproven	-	regime.py:451	Agent wrong: H>0.5=persistent/trending; code correctly classifies
94	hypothesis	Pipeline lookahead bias	disproven	-	pipeline.py:228	as_of is bar close time; data IS known at signal generation
95	hypothesis	GEX gamma flip floating point	disproven	-	gex.py:224	Negligible practical impact for regime classification
96	hypothesis	BOCPD hysteresis too weak	disproven	-	regime.py:313	Intentional stability mechanism to prevent excessive regime flipping
97	hypothesis	Kelly non-robust overwrites raw_kelly for logging	confirmed	MEDIUM	kelly.py:270	Logging overwrite feeds into fractional scaling; all-winners gets smaller fraction than near-all-winners
98	hypothesis	CVaR GPD Expected Shortfall sign error	uncertain	-	cvar_sizer.py:212	Complex sign convention; code is conservative direction (may underestimate risk magnitude)
99	hypothesis	CPPI floor decay cancels ratchet	disproven	-	cppi.py:73	Design choice; decay defaults to 0; intentional relaxing CPPI variant
100	hypothesis	max(1,...) prevents compound reduction	disproven	-	risk.py:454	Intentional; regime check provides full rejection mechanism
101	hypothesis	HRP receives dollar PnL + duplicate dates	confirmed	MEDIUM	hrp.py:58	Same-day trades append separate entries instead of accumulating; corrupts matrix alignment
102	hypothesis	Position gate bypass for existing positions	disproven	-	risk.py:181	Intentional: adding to existing doesn't open NEW position (iteration 35)
103	hypothesis	classify_trend cum_ret==0 → DOWN	confirmed	LOW	regime.py:455	Zero cumulative return classified as DOWN instead of FLAT when Hurst>=0.55
104	hypothesis	Hurst exponent len(prices) vs len(returns)	disproven	-	regime.py:423	0.4% bias negligible vs 0.55 threshold
105	hypothesis	Momentum crash std ddof=0	disproven	-	momentum_crash.py:183	0.8% difference at n=60, negligible
106	hypothesis	Momentum crash self-referential z-score	disproven	-	momentum_crash.py:126	Include-before-compute needed: without it, constant history has zero std, breaking spike detection
107	hypothesis	HMM max-vol state labeling	disproven	-	labeling.py:20	Intentional relative labeling; HMM separates by vol characteristics
108	hypothesis	min_confidence rejects during warmup	disproven	-	strategy_engine.py:58	Correct: don't activate regime-gated strategies without regime confidence
109	hypothesis	momentum_fade GARCH z-score vs raw confluence scoring	confirmed	MEDIUM	momentum_fade.py:374	Entry gate uses GARCH z-score (threshold 2.0) but confluence scores raw vwap_dist (threshold 0.008); mismatch
110	hypothesis	ORB_V2 multiple triggers per range	disproven	-	orb_v2.py:323	breakout_fired flag prevents duplicate triggers
111	hypothesis	RSI_Bounce asymmetric BB thresholds	disproven	-	rsi_bounce.py:415	Symmetric scoring and trend filter logic confirmed correct
112	hypothesis	Flow_Alpha GARCH/threshold mismatch	disproven	-	flow_alpha.py	norm_flow clamped to [-1,1] regardless of normalization path; consistent
113	hypothesis	Momentum_Continuation non-exclusive branches	disproven	-	momentum_continuation.py:124	0.1% EMA spread gate ensures mutual exclusivity
114	hypothesis	Sortino ratio denominator uses negative count only	confirmed	HIGH	backtest_report.py:301	Divides by count of negative returns, not total; inflates downside deviation ~58%
115	hypothesis	WFO train/test boundary overlap	confirmed	HIGH	optuna_harness.py:753	Train_end == test_start with inclusive dates leaks 1 day
116	hypothesis	Fill model dead code in executor	confirmed	HIGH	executor.py:36	fill_model stored but never called; always uses _apply_slippage()
117	hypothesis	GPD tail index shape parameter range	disproven	-	cvar_sizer.py	Already guarded with xi < 1 check (fixed earlier)
118	hypothesis	Monte Carlo empty trades crash	disproven	-	analytics/monte_carlo.py	Already guarded with early return (fixed earlier)
119	hypothesis	Walk-forward holdout contamination	disproven	-	optuna_harness.py	Holdout window is separate from train/test cycle
120	hypothesis	WebSocket feed dispatch uses wrong feed names	confirmed	CRITICAL	client.py:711	Compares gateway names (stock_bars) vs short names (bars); REVERSE_FEED_MAP unused
121	hypothesis	_parse_bars drops zero-volume bars via falsy or chain	confirmed	HIGH	calculator.py:244-248	or treats 0 as falsy; zero-volume bars silently dropped
122	hypothesis	get_prior_day_stats off-by-one before market open	confirmed	HIGH	client.py:426-438	Unconditional bars[-2] returns 2-day-ago data when today's bar missing
123	hypothesis	RollingRSI seeds with single observation	confirmed	MEDIUM	indicators.py:82-119	Seeds avg_gain/avg_loss with 1 value instead of SMA over full period
124	hypothesis	RollingStd numerical instability	confirmed	MEDIUM	indicators.py:54-78	Naive running variance accumulates cancellation error over trading day
125	hypothesis	Hurst exponent comment mismatch	confirmed	LOW	calculator.py:699	Comment says n/2 but code uses n; code is correct, comment is wrong
126	hypothesis	replay_provider temporal ordering	disproven	-	replay_provider.py	Simple DB lookup with ORDER BY DESC LIMIT 1; correct
127	hypothesis	IV surface analyze() argument mismatch	confirmed	CRITICAL	regime.py:194 / iv_surface.py:304	Keyword args don't match parameter names; TypeError on call
128	hypothesis	VRP realized vol not annualized	confirmed	HIGH	vrp.py:49-51	Per-bar vol vs annualized IV proxy; 8 orders of magnitude mismatch
129	hypothesis	Hurst exponent uses price diffs not log-returns	confirmed	MEDIUM	regime.py:419	np.diff(prices) not scale-invariant; also off-by-one in denominator
130	hypothesis	EWMA vol no persistent state	confirmed	MEDIUM	regime.py:441-463	Recomputes from mean each call instead of maintaining running state
131	hypothesis	IV surface finite diff for non-uniform strikes	confirmed	MEDIUM	iv_surface.py:253	Formula only exact for uniform spacing; biases RND in wings
132	hypothesis	LZC normalization uses ln(n) not log2(n)	confirmed	LOW	entropy.py:175	Compressed ~30% but LZC not used in regime classification
133	hypothesis	Population vs sample std inconsistency	confirmed	LOW	momentum_crash.py:183 / vrp.py:61	ddof=0 vs entropy.py ddof=1; negligible for large windows
134	hypothesis	Permutation entropy max calculation	disproven	-	entropy.py:73	ln(order!) is correct max PE for order! possible patterns
